undefined;Município;Grande Grupamento Atividade Econômica;Atividade Econômica;CNAE 2.0 Seção;CNAE 2.0 Divisão;CNAE 2.0 Grupo;CNAE 2.0 Classe;CNAE 2.0 Subclasse;Admitidos;Desligados;Saldo;Estoque;Variação Relativa;Tempo de Emprego;Ano_Ref;Mes_Ref
19.356104651162791;;;;;;;;;;;;;;;2025;Outubro
19.356104651162791;Botucatu;;;;;;;;;;;;;;2025;Outubro
15.491935483870968;Botucatu;Agropecuária;;;;;;;;;;;;;2025;Outubro
15.491935483870968;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;2025;Outubro
15.491935483870968;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;;;;2025;Outubro
16.345794392523363;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;;;;;;;;;;2025;Outubro
7.833333333333333;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;;;;;;;;;2025;Outubro
1;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Agricultura;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Agricultura;Atividades de Apoio à Agricultura não Especificadas Anteriormente;21;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Agricultura;Serviço de Poda de árvores para Lavouras;2;0.0;2;45;0.046511627906976744;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Agricultura;Serviço de Preparação de Terreno, Cultivo e Colheita;0;1.0;-1;8;-0.1111111111111111;1;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Pecuária;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Pecuária;Atividades de Apoio à Pecuária não Especificadas Anteriormente;13;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Apoio à Pecuária;Serviço de Manejo de Animais;0;1.0;-1;1;-0.5;3;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Pós-Colheita;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Atividades de Apoio à Agricultura e à Pecuária;Atividades de Pós-Colheita;Atividades de Pós-Colheita;10;-10.0;9;;;;2025;Outubro
19;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Horticultura e Floricultura;;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Horticultura e Floricultura;Cultivo de Flores e Plantas Ornamentais;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Horticultura e Floricultura;Cultivo de Flores e Plantas Ornamentais;Cultivo de Flores e Plantas Ornamentais;29;;;;;;2025;Outubro
19;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Horticultura e Floricultura;Horticultura;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Horticultura e Floricultura;Horticultura;Cultivo de Morango;1;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Horticultura e Floricultura;Horticultura;Horticultura, Exceto Morango;1;5.0;-4;106;-0.036363636363636362;19;2025;Outubro
19.75;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Animais não Especificados Anteriormente;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Animais não Especificados Anteriormente;Apicultura;4;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Animais não Especificados Anteriormente;Criação de Outros Animais não Especificados Anteriormente;1;;;;;;2025;Outubro
25.3;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Aves;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Aves;Criação de Frangos para Corte;5;1.0;4;66;0.064516129032258063;7;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Aves;Criação de Outros Galináceos, Exceto para Corte;0;2.0;-2;7;-0.22222222222222221;8;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Aves;Produção de Ovos;3;7.0;-4;267;-0.014760147601476014;32.857142857142854;2025;Outubro
17.352941176470587;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Bovinos;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Bovinos;Criação de Bovinos para Corte;8;15.0;-7;245;-0.027777777777777776;15.666666666666666;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Bovinos;Criação de Bovinos para Leite;1;1.0;0;26;0;15;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Bovinos;Criação de Bovinos, Exceto para Corte e Leite;0;-1.0;12;-0.076923076923076927;45;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Caprinos e Ovinos;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Caprinos e Ovinos;Criação de Ovinos, Inclusive para Produção de Lã;5;;;;;;2025;Outubro
5;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Outros Animais de Grande Porte;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Pecuária;Criação de Outros Animais de Grande Porte;Criação de EquInos;0;1.0;-1;14;-0.066666666666666666;5;2025;Outubro
17.456140350877192;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Café;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Café;Cultivo de Café;2;0.0;2;35;0.060606060606060608;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Frutas de Lavoura Permanente, Exceto Laranja e Uva;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Frutas de Lavoura Permanente, Exceto Laranja e Uva;Cultivo de Banana;1;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Frutas de Lavoura Permanente, Exceto Laranja e Uva;Cultivo de Cítricos, Exceto Laranja;3;1.0;2;16;0.14285714285714285;10;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Frutas de Lavoura Permanente, Exceto Laranja e Uva;Cultivo de Frutas de Lavoura Permanente não Especificadas Anteriormente;2;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Frutas de Lavoura Permanente, Exceto Laranja e Uva;Cultivo de Pêssego;4;;;;;;2025;Outubro
17.589285714285715;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Laranja;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Laranja;Cultivo de Laranja;34;56.0;-22;1471;-0.014735432016075016;17.589285714285715;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Plantas de Lavoura Permanente não Especificadas Anteriormente;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Permanentes;Cultivo de Plantas de Lavoura Permanente não Especificadas Anteriormente;Cultivo de Outras Plantas de Lavoura Permanente não Especificadas Anteriormente;2;;;;;;2025;Outubro
2.4;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Temporárias;;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Temporárias;Cultivo de Algodão Herbáceo e de Outras Fibras de Lavoura Temporária;;;;;;;;2025;Outubro
;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Temporárias;Cultivo de Algodão Herbáceo e de Outras Fibras de Lavoura Temporária;Cultivo de Outras Fibras de Lavoura Temporária não Especificadas Anteriormente;9;;;;;;2025;Outubro
0;Botucatu;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;Agricultura, Pecuária e Serviços Relacionados;Produção de Lavouras Temporárias;Cultivo de Cana-De-Açúcar;;;;;;;;2025;Outubro
